Year,Luminous,Oil Production,NGLs
1992,119524259,2065.57906,0
1993,148165933,2189.010303,0
1994,141453279,2281.334789,0
1995,123170395,2402.127813,0
1996,128237779,2479.917424,0
1997,63364833,2587.590283,0
1998,84412945,2672.381339,0
1999,92495804,2604.399595,0
2000,135189787,2883.728714,687.9798429
2001,99391194,2894.519207,672.3893847
2002,150058520,3011.468329,651.1556729
2003,58004871,3156.573402,661.1004668
2004,105375297,3230.070441,666.7216574
2005,75464108,3188.008669,668.5017647
2006,90116312,3359.120817,703.6299269
2007,116362684,3433.05625,683.3026371
2008,96243156,3341.448209,625.8945989
2009,74730978,3330.725337,626.0222785
2010,123895523,3456.807609,607.6904958
2011,101545351,3636.742724,615.2761799
2012,118938330,3859.869534,609.5548392
2013,118954026,4127.940755,641.9622098
