Year,Luminous,Oil Production,NGLs
1992,9358512,3523.016393,0
1993,9188034,3712.164384,0
1994,10671921,3730.027397,0
1995,10099412,3743.774247,0
1996,10013283,3758.579235,0
1997,7901147,3776.463014,0
1998,7783219,3854.747945,0
1999,7970590,3603.356164,0
2000,11528322,3850.403294,81.74221311
2001,11112431,3824.45,82.70479452
2002,11669220,3616.920548,83.30136986
2003,8279912,4083.606576,95.03260274
2004,10651955,4215.802733,106.0092896
2005,9240801,4217.465479,122.2860274
2006,11470635,4291.008082,163.5669863
2007,12495612,4355.962603,185.99
2008,11507560,4414.978142,241.8797814
2009,10849564,4284.864603,269.9219178
2010,14759312,4420.620479,352.2146575
2011,12465280,4452.40411,404.1
2012,14055935,3809.756148,412.0403005
2013,13687493,3609.229863,417.6326027
