Year,Luminous,Oil Production,NGLs
1992,2544853,531.2612022,0
1993,2433922,455.2756164,0
1994,2645866,505.2756164,0
1995,2651308,530.2756164,0
1996,2509225,580.2612022,0
1997,1868035,1165.826849,0
1998,1849365,2120.826849,0
1999,1919404,2609.826849,0
2000,3047696,2613,15
2001,2881508,2522,20
2002,2955815,2116,20
2003,1959948,1344,10
2004,2691856,2030,18
2005,2211864,1833,20
2006,2748804,1999,25
2007,2850453,2143.2118,27
2008,2624452,2428,34
2009,2743078,2445.628667,40.91666667
2010,3887809,2468.874333,44.83333333
2011,3407058,2773.276667,45.16666667
2012,4032533,3078.5,41.5
2013,4087628,3102.5,44.5
