Year,Luminous,Oil Production,NGLs
1992,247619,1077,0
1993,265385,1945,0
1994,364155,2085,0
1995,342306,2130,0
1996,337963,2129,0
1997,317858,2137,0
1998,275563,2232,0
1999,281418,2085,0
2000,370748,2244.422568,158.4225683
2001,344019,2183.543699,158.5436986
2002,364338,2026.551096,149.5510959
2003,338799,2371.263863,175.263863
2004,377868,2520.219836,183.2198361
2005,379369,2669.24463,184.2446301
2006,401342,2739.520767,193.5207671
2007,384359,2667.001566,196.3821918
2008,363654,2791.131776,216.6372404
2009,351808,2502.367014,223.9834521
2010,432477,2564.212055,257.390137
2011,392014,2917.645205,272.590411
2012,450268,3172.78694,282.8825683
2013,452708,3133.563425,286.9606849
