Year,Luminous,Oil Production,NGLs
1992,225827299,7978.186339,0
1993,195098858,7118.856274,0
1994,204482839,6370.724712,0
1995,207302094,6235.776932,0
1996,181182025,6061.591967,0
1997,116861906,6170.674849,0
1998,166176594,6109.998247,0
1999,138952041,6118.780055,0
2000,252223237,6582.837881,109.907377
2001,201570556,7105.859497,117.7273973
2002,274002288,7754.790856,131.9217808
2003,144651802,8602.475188,141.4560274
2004,184286871,9335.081579,144.4266995
2005,159068604,9597.655158,154.7101699
2006,172179692,9833.509729,177.8103334
2007,176879278,10057.14079,188.6705093
2008,147971467,9964.512396,180.3643555
2009,169626587,10152.26044,224.9448456
2010,227237426,10378.61994,228.2759127
2011,182735152,10533.3635,246.7658016
2012,220454374,10655.73349,260.4374547
2013,221041492,10806.83989,278.481349
