Year,Luminous,Oil Production,NGLs
1992,9588350,9091.7,0
1993,8991671,8892.7,0
1994,9788554,8983,0
1995,9990994,8973.53752,0
1996,9702258,9086.503024,0
1997,6928718,9005.316119,0
1998,7011701,9266.786653,0
1999,7675687,8523.810352,0
2000,11441451,9121.165333,1026.665333
2001,10712246,8935.030316,1046.130316
2002,11017748,8206.500316,1113.400316
2003,7334524,9628.159976,1097.281839
2004,9805141,10305.91122,1183.92076
2005,7795951,10838.5814,1241.1608
2006,10004895,10670.7817,1205.57242
2007,10618830,10268.75306,1194.468266
2008,10500379,10664.79441,1211.387906
2009,10287823,9708.903107,1297.945449
2010,13967721,9864.826757,1441.774702
2011,12356412,11079.22879,1513.023307
2012,14488228,11621.79428,1634.996469
2013,14687211,11392.92663,1518.118416
