Year,Luminous,Oil Production,NGLs
1992,119344528,8868.125,0
1993,114424253,8582.665,0
1994,116950535,8388.579,0
1995,114400316,8321.639,0
1996,115825464,8294.527,0
1997,85348901,8268.592,0
1998,90677210,8010.833,0
1999,93546495,7731.458,0
2000,126673062,7732.658645,1911.054645
2001,109023781,7669.609219,1868.208219
2002,124351137,7624.338274,1880.260274
2003,87255152,7368.447945,1719.147945
2004,100946826,7250.243956,1809.275956
2005,86618111,6900.783644,1716.961644
2006,98223035,6824.858521,1738.994521
2007,109836823,6856.691781,1782.791781
2008,105399105,6783.35406,1783.68306
2009,100081018,7266.706959,1910.010959
2010,134533906,7558.36711,2074.10411
2011,113516570,7882.727589,2216.109589
2012,119982514,8926.461541,2408.147541
2013,121779802,10098.679,2605.8
