Country,Luminous,Oil Production,NGLs
Canada,119524259,2065.57906,0
Canada,148165933,2189.010303,0
Canada,141453279,2281.334789,0
Canada,123170395,2402.127813,0
Canada,128237779,2479.917424,0
Canada,63364833,2587.590283,0
Canada,84412945,2672.381339,0
Canada,92495804,2604.399595,0
Canada,135189787,2883.728714,687.9798429
Canada,99391194,2894.519207,672.3893847
Canada,150058520,3011.468329,651.1556729
Canada,58004871,3156.573402,661.1004668
Canada,105375297,3230.070441,666.7216574
Canada,75464108,3188.008669,668.5017647
Canada,90116312,3359.120817,703.6299269
Canada,116362684,3433.05625,683.3026371
Canada,96243156,3341.448209,625.8945989
Canada,74730978,3330.725337,626.0222785
Canada,123895523,3456.807609,607.6904958
Canada,101545351,3636.742724,615.2761799
Canada,118938330,3859.869534,609.5548392
Canada,118954026,4127.940755,641.9622098
China,47876846,2844.680874,0
China,44369700,2892.438082,0
China,52346624,2933.606575,0
China,49753115,2992.648219,0
China,47734693,3174.731148,0
China,40860841,3215.76137,0
China,41420738,3216.765479,0
China,39844658,3217.568767,0
China,57180966,3256.843169,0
China,56470808,3310.147671,0
China,58333754,3351.035014,0
China,41167346,3405.638493,0
China,54022368,3485.775492,0
China,46151305,3641.963718,0
China,53355297,3710.500222,0
China,59770982,3741.677825,0
China,56328505,3813.995268,0
China,56813793,3805.374521,0
China,79893249,4076.966082,0
China,68214791,4074.184699,0
China,77002207,4155.228798,0
China,80522412,4216.442628,0
Iran,9358512,3523.016393,0
Iran,9188034,3712.164384,0
Iran,10671921,3730.027397,0
Iran,10099412,3743.774247,0
Iran,10013283,3758.579235,0
Iran,7901147,3776.463014,0
Iran,7783219,3854.747945,0
Iran,7970590,3603.356164,0
Iran,11528322,3850.403294,81.74221311
Iran,11112431,3824.45,82.70479452
Iran,11669220,3616.920548,83.30136986
Iran,8279912,4083.606576,95.03260274
Iran,10651955,4215.802733,106.0092896
Iran,9240801,4217.465479,122.2860274
Iran,11470635,4291.008082,163.5669863
Iran,12495612,4355.962603,185.99
Iran,11507560,4414.978142,241.8797814
Iran,10849564,4284.864603,269.9219178
Iran,14759312,4420.620479,352.2146575
Iran,12465280,4452.40411,404.1
Iran,14055935,3809.756148,412.0403005
Iran,13687493,3609.229863,417.6326027
Iraq,2544853,531.2612022,0
Iraq,2433922,455.2756164,0
Iraq,2645866,505.2756164,0
Iraq,2651308,530.2756164,0
Iraq,2509225,580.2612022,0
Iraq,1868035,1165.826849,0
Iraq,1849365,2120.826849,0
Iraq,1919404,2609.826849,0
Iraq,3047696,2613,15
Iraq,2881508,2522,20
Iraq,2955815,2116,20
Iraq,1959948,1344,10
Iraq,2691856,2030,18
Iraq,2211864,1833,20
Iraq,2748804,1999,25
Iraq,2850453,2143.2118,27
Iraq,2624452,2428,34
Iraq,2743078,2445.628667,40.91666667
Iraq,3887809,2468.874333,44.83333333
Iraq,3407058,2773.276667,45.16666667
Iraq,4032533,3078.5,41.5
Iraq,4087628,3102.5,44.5
Kuwait,247619,1077,0
Kuwait,265385,1945,0
Kuwait,364155,2085,0
Kuwait,342306,2130,0
Kuwait,337963,2129,0
Kuwait,317858,2137,0
Kuwait,275563,2232,0
Kuwait,281418,2085,0
Kuwait,370748,2244.422568,158.4225683
Kuwait,344019,2183.543699,158.5436986
Kuwait,364338,2026.551096,149.5510959
Kuwait,338799,2371.263863,175.263863
Kuwait,377868,2520.219836,183.2198361
Kuwait,379369,2669.24463,184.2446301
Kuwait,401342,2739.520767,193.5207671
Kuwait,384359,2667.001566,196.3821918
Kuwait,363654,2791.131776,216.6372404
Kuwait,351808,2502.367014,223.9834521
Kuwait,432477,2564.212055,257.390137
Kuwait,392014,2917.645205,272.590411
Kuwait,450268,3172.78694,282.8825683
Kuwait,452708,3133.563425,286.9606849
Nigeria,4980004,2032,0
Nigeria,4859871,2018.2,0
Nigeria,4656920,1933.877,0
Nigeria,4903502,1948.594,0
Nigeria,4845753,1971.067,0
Nigeria,3569433,1977.741,0
Nigeria,3899246,2023.046,0
Nigeria,3733980,1894.5,0
Nigeria,5282678,2174.354451,32.42295082
Nigeria,5161923,2157.497304,37.27890411
Nigeria,4775712,1951.110822,43.38082192
Nigeria,3272441,2298.784862,44.14356164
Nigeria,5010065,2486.552464,45.00546448
Nigeria,4089680,2481.986432,51.48493151
Nigeria,4105690,2371.120578,56.37917808
Nigeria,5037154,2206.312116,70.23561644
Nigeria,4606261,2172.407464,72.00874317
Nigeria,4531366,2210.97189,73.03232877
Nigeria,6477470,2533.094263,78.18082192
Nigeria,4904162,2461.275704,88.00109589
Nigeria,5400315,2411.571183,81.58032787
Nigeria,5758946,2278.703841,85.58575342
Russia,225827299,7978.186339,0
Russia,195098858,7118.856274,0
Russia,204482839,6370.724712,0
Russia,207302094,6235.776932,0
Russia,181182025,6061.591967,0
Russia,116861906,6170.674849,0
Russia,166176594,6109.998247,0
Russia,138952041,6118.780055,0
Russia,252223237,6582.837881,109.907377
Russia,201570556,7105.859497,117.7273973
Russia,274002288,7754.790856,131.9217808
Russia,144651802,8602.475188,141.4560274
Russia,184286871,9335.081579,144.4266995
Russia,159068604,9597.655158,154.7101699
Russia,172179692,9833.509729,177.8103334
Russia,176879278,10057.14079,188.6705093
Russia,147971467,9964.512396,180.3643555
Russia,169626587,10152.26044,224.9448456
Russia,227237426,10378.61994,228.2759127
Russia,182735152,10533.3635,246.7658016
Russia,220454374,10655.73349,260.4374547
Russia,221041492,10806.83989,278.481349
Saudi Arabia,9588350,9091.7,0
Saudi Arabia,8991671,8892.7,0
Saudi Arabia,9788554,8983,0
Saudi Arabia,9990994,8973.53752,0
Saudi Arabia,9702258,9086.503024,0
Saudi Arabia,6928718,9005.316119,0
Saudi Arabia,7011701,9266.786653,0
Saudi Arabia,7675687,8523.810352,0
Saudi Arabia,11441451,9121.165333,1026.665333
Saudi Arabia,10712246,8935.030316,1046.130316
Saudi Arabia,11017748,8206.500316,1113.400316
Saudi Arabia,7334524,9628.159976,1097.281839
Saudi Arabia,9805141,10305.91122,1183.92076
Saudi Arabia,7795951,10838.5814,1241.1608
Saudi Arabia,10004895,10670.7817,1205.57242
Saudi Arabia,10618830,10268.75306,1194.468266
Saudi Arabia,10500379,10664.79441,1211.387906
Saudi Arabia,10287823,9708.903107,1297.945449
Saudi Arabia,13967721,9864.826757,1441.774702
Saudi Arabia,12356412,11079.22879,1513.023307
Saudi Arabia,14488228,11621.79428,1634.996469
Saudi Arabia,14687211,11392.92663,1518.118416
United Arab Emirates,700737,2494.67,0
United Arab Emirates,677993,2438.286,0
United Arab Emirates,734193,2462.533,0
United Arab Emirates,746016,2444,0
United Arab Emirates,758349,2501.3,0
United Arab Emirates,630928,2521.7,0
United Arab Emirates,649082,2610.1,0
United Arab Emirates,702467,2413.8,0
United Arab Emirates,947348,2598.898,265.288
United Arab Emirates,946566,2540.722,258.672
United Arab Emirates,1007264,2366.26,294.66
United Arab Emirates,824603,2722.489,299.129
United Arab Emirates,929594,2821.58,304.53
United Arab Emirates,826209,2945.463,302.463
United Arab Emirates,950652,3134.512,306.512
United Arab Emirates,1032418,3094.295,310.295
United Arab Emirates,1024250,3113.094,293.894
United Arab Emirates,1012434,2794.812236,299.776
United Arab Emirates,1284265,2936.823808,333.807
United Arab Emirates,1224041,3300.134045,446.788
United Arab Emirates,1340973,3424.7262,479.1154366
United Arab Emirates,1364765,3566.135469,482.4633656
United States,119344528,8868.125,0
United States,114424253,8582.665,0
United States,116950535,8388.579,0
United States,114400316,8321.639,0
United States,115825464,8294.527,0
United States,85348901,8268.592,0
United States,90677210,8010.833,0
United States,93546495,7731.458,0
United States,126673062,7732.658645,1911.054645
United States,109023781,7669.609219,1868.208219
United States,124351137,7624.338274,1880.260274
United States,87255152,7368.447945,1719.147945
United States,100946826,7250.243956,1809.275956
United States,86618111,6900.783644,1716.961644
United States,98223035,6824.858521,1738.994521
United States,109836823,6856.691781,1782.791781
United States,105399105,6783.35406,1783.68306
United States,100081018,7266.706959,1910.010959
