Country,Luminous,Oil Production,NGLs
Canada,16860163.38,3859.869534,609.5548392
Canada,18491843.41,4127.940755,641.9622098
Canada,59113686.55,4418.059568,660.5404152
Canada,77611469.78,4572.266772,709.3148819
Canada,55455165.98,4655.475875,787.2535413
Canada,79449692.75,5037.332018,821.0879723
Canada,66099771.9,5500.678681,904.2373748
Canada,65159487.06,5650.772745,963.0195507
Canada,59562327.25,4575,
China,15618250,4155.228798,0
China,21199385.08,4216.442628,0
China,24084914.17,4245.957726,0
China,23877371.89,4308.835068,0
China,21789018.85,3999.155874,0
China,34101840.66,3845.860219,0
China,34539748.3,3797.662959,0
China,36401136.96,3835.979781,0
China,40193986.4,3929,
Iran,5895725.944,3809.756148,412.0403005
Iran,6561057.814,3609.229863,417.6326027
Iran,7492177.47,3714.137123,441.1535616
Iran,7508261.397,3852.759885,460.5406849
Iran,8380478.163,4578.22101,488.0407104
Iran,11132672.09,5007.335342,537.3353425
Iran,10186741.93,4800.698082,540.6980822
Iran,9313171.162,3534.571781,554.5717808
Iran,9823501.51,2018,
Iraq,4731024.92,3078.5,41.5
Iraq,5099613.292,3102.5,44.5
Iraq,5520352.43,3238.621005,40.33333333
Iraq,6310137.151,3985.940667,40.66666667
Iraq,6909650.917,4422.8866,47.75
Iraq,7529377.109,4537.896159,64.41666667
Iraq,7477086.374,4631.867513,64.33333333
Iraq,7538368.292,4779.476074,67.75
Iraq,7521440.801,4550,
Kuwait,662446.9284,3172.78694,282.8825683
Kuwait,760014.8075,3133.563425,286.9606849
Kuwait,819519.1987,3105.854658,275.9916438
Kuwait,785464.3864,3069.362556,287.8283562
Kuwait,838174.8793,3149.827743,289.7184426
Kuwait,785670.2641,3009.267781,305.0317808
Kuwait,837468.543,3049.523959,312.9209589
Kuwait,807534.6669,2995.620101,317.6201005
Kuwait,811686.023,2901,
Nigeria,573806.5362,2411.571183,81.58032787
Nigeria,1138520.13,2278.703841,85.58575342
Nigeria,1031226.198,2276.008737,88.22356164
Nigeria,1412097.23,2201.408745,82.34410959
Nigeria,990079.4974,1899.912038,78.22076503
Nigeria,2068957.54,1969.414392,79.70630137
Nigeria,2158421.846,2006.554219,84.8230137
Nigeria,1657469.154,2109.067949,88.19178082
Nigeria,1939372.013,1780,
Russia,19548937.81,10655.73349,260.4374547
Russia,30120190.45,10806.83989,278.481349
Russia,106339617.8,10860.08809,264.6249268
Russia,116044431,11006.67742,248.6317875
Russia,79903073.96,11268.79025,265.9760486
Russia,136691962.3,11254.69144,237.7108657
Russia,111743159.6,11438.12569,237.4991347
Russia,109798534.8,11539.57273,247.9324818
Russia,112809593.7,10880,
Saudi Arabia,6967147.117,11621.79428,1634.996469
Saudi Arabia,7656124.446,11392.92663,1518.118416
Saudi Arabia,7986423.828,11518.82272,1577.355601
Saudi Arabia,9197425.354,11997.93798,1577.666752
Saudi Arabia,9087272.109,12406.04761,1717.847608
Saudi Arabia,11448810.47,11892.19826,1717.036262
Saudi Arabia,11313819.06,12261.33334,1728.333342
Saudi Arabia,11184389.24,11832.31924,1687.319243
Saudi Arabia,11789941.51,9733,
United Arab Emirates,1248710.004,3424.7262,479.1154366
United Arab Emirates,1427844.308,3566.135469,482.4633656
United Arab Emirates,1494267.54,3602.90046,539.4885542
United Arab Emirates,1514554.339,3897.972489,613.7972219
United Arab Emirates,1465378.774,4037.54115,653.6322255
United Arab Emirates,1524168.753,3909.546932,630.5038964
United Arab Emirates,1590906.812,3912.358361,604.340316
United Arab Emirates,1643809.79,3997.689134,637.9100995
United Arab Emirates,1666868.924,3526,
United States,38224188.49,8926.461541,2408.147541
United States,48893641.35,10098.679,2605.8
United States,73210851.19,11801.44834,3014.575342
United States,71177228.08,12780.99701,3342.263014
United States,59074104.02,12348.54117,3509.243169
United States,75320925.98,13134.85366,3783.024658
United States,75174363.14,15359.94371,4369.476712
United States,73247149.96,17044.6017,4813.013699
United States,70783073.67,12833,
